[0916/232047.256:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0916/232047.506:ERROR:backend_impl.cc(1062)] Critical error found -8
[0916/232639.476:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/234424.747:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/235646.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/235651.561:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0916/235851.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/000126.618:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/001347.492:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/001957.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/002057.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0917/003301.630:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
